市区町村コード,都道府県名,市区町村名,調査年月日,NO,学校名,学校名_かな,学校名_カナ,総児童数,通常学級_学級数_1年,通常学級_学級数_2年,通常学級_学級数_3年,通常学級_学級数_4年,通常学級_学級数_5年,通常学級_学級数_6年,通常学級_学級数_複式学級数,通常学級_児童数（総数）_1年,通常学級_児童数（男子）_1年,通常学級_児童数（女子）_1年,通常学級_児童数（総数）_2年,通常学級_児童数（男子）_2年,通常学級_児童数（女子）_2年,通常学級_児童数（総数）_3年,通常学級_児童数（男子）_3年,通常学級_児童数（女子）_3年,通常学級_児童数（総数）_4年,通常学級_児童数（男子）_4年,通常学級_児童数（女子）_4年,通常学級_児童数（総数）_5年,通常学級_児童数（男子）_5年,通常学級_児童数（女子）_5年,通常学級_児童数（総数）_6年,通常学級_児童数（男子）_6年,通常学級_児童数（女子）_6年,特別支援学級_学級数,特別支援学級_児童数（総数）,特別支援学級_児童数（男子）,特別支援学級_児童数（女子）,通級指導教室_学級数,通級指導教室_児童数（総数）,通級指導教室_児童数（男子）,通級指導教室_児童数（女子）,備考
401307,福岡県,福岡市,2019-05-01,1,舞鶴,まいづる,マイヅル,713,4,4,3,4,3,3,0,140,74,66,120,61,59,106,56,50,131,57,74,103,49,54,113,57,56,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,2,当仁,とうにん,トウニン,515,3,3,3,3,3,2,0,86,35,51,84,43,41,83,47,36,90,45,45,88,37,51,84,35,49,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,3,博多,はかた,ハカタ,684,4,3,4,4,3,4,0,120,70,50,99,45,54,116,56,60,115,51,64,100,44,56,134,65,69,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,8,警固,けご,ケゴ,664,3,4,4,3,3,3,0,101,45,56,112,51,61,118,68,50,98,61,37,123,59,64,112,63,49,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,9,西新,にしじん,ニシジン,1074,6,6,6,5,5,4,0,191,107,84,184,100,84,186,109,77,172,90,82,178,94,84,163,85,78,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,10,春吉,はるよし,ハルヨシ,155,1,1,1,1,1,1,0,27,16,11,25,10,15,20,13,7,24,13,11,31,14,17,28,14,14,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,11,住吉,すみよし,スミヨシ,579,3,3,3,3,3,3,0,104,52,52,103,43,60,91,51,40,100,42,58,91,43,48,90,59,31,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,12,草ヶ江,くさがえ,クサガエ,881,5,5,5,5,3,4,0,145,81,64,154,75,79,147,67,80,156,77,79,119,63,56,160,87,73,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,13,堅粕,かたかす,カタカス,192,2,1,1,1,1,1,0,38,16,22,39,20,19,25,14,11,37,23,14,24,12,12,29,18,11,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,14,馬出,まいだし,マイダシ,374,2,2,2,2,2,2,0,66,41,25,60,34,26,54,31,23,69,45,24,69,29,40,56,33,23,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,15,千代,ちよ,チヨ,201,1,2,1,1,1,1,0,31,13,18,48,22,26,32,21,11,22,10,12,43,28,15,25,4,21,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,16,原,はら,ハラ,705,4,4,3,4,3,3,0,123,62,61,125,56,69,109,57,52,113,65,48,123,67,56,112,74,38,6,,,,,,,,
401307,福岡県,福岡市,2019-05-01,17,長尾,ながお,ナガオ,719,4,4,4,4,3,4,0,128,63,65,113,58,55,121,68,53,118,57,61,111,49,62,128,60,68,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,18,吉塚,よしづか,ヨシヅカ,464,2,3,2,3,2,3,0,63,31,32,78,43,35,72,33,39,83,42,41,80,44,36,88,45,43,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,19,東住吉,ひがしすみよし,ヒガシスミヨシ,182,1,1,1,1,1,1,0,33,21,12,36,20,16,28,15,13,26,11,15,33,24,9,26,11,15,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,20,筥松,はこまつ,ハコマツ,706,4,4,4,4,3,3,0,136,72,64,132,65,67,112,53,59,115,58,57,106,47,59,105,62,43,5,,,,,,,,
401307,福岡県,福岡市,2019-05-01,21,平尾,ひらお,ヒラオ,1083,5,6,6,5,5,5,0,168,82,86,182,105,77,194,98,96,168,82,86,192,81,111,179,96,83,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,22,高宮,たかみや,タカミヤ,420,3,3,2,2,2,2,0,79,40,39,78,37,41,67,34,33,69,36,33,75,44,31,52,24,28,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,23,姪浜,めいのはま,メイノハマ,965,5,5,5,5,4,5,0,169,85,84,166,84,82,154,84,70,154,80,74,157,81,76,165,83,82,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,24,席田,むしろだ,ムシロダ,378,2,2,2,3,2,2,0,69,28,41,63,38,25,63,35,28,80,41,39,55,31,24,48,18,30,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,25,三宅,みやけ,ミヤケ,845,4,5,4,4,4,4,0,136,68,68,164,92,72,130,73,57,136,66,70,140,66,74,139,62,77,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,26,花畑,はなはた,ハナハタ,531,3,3,3,3,3,2,0,90,50,40,84,41,43,89,45,44,99,43,56,88,42,46,81,38,43,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,27,月隈,つきぐま,ツキグマ,479,3,2,3,3,3,2,0,82,42,40,72,33,39,77,41,36,81,46,35,88,44,44,79,48,31,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,28,箱崎,はこざき,ハコザキ,589,3,3,4,3,3,3,0,93,47,46,96,53,43,115,59,56,97,41,56,93,53,40,95,36,59,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,29,壱岐,いき,イキ,942,4,4,5,5,5,5,0,132,63,69,142,79,63,157,85,72,162,90,72,176,94,82,173,84,89,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,30,能古,のこ,ノコ,124,1,1,1,1,1,1,0,22,12,10,21,11,10,21,13,8,19,13,6,20,8,12,21,7,14,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,31,今宿,いまじゅく,イマジュク,967,5,5,5,6,4,4,0,156,90,66,163,99,64,168,80,88,186,107,79,148,75,73,146,76,70,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,32,今津,いまづ,イマヅ,135,1,1,1,1,1,1,0,31,17,14,23,16,7,30,15,15,19,13,6,15,11,4,17,6,11,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,33,玉川,たまがわ,タマガワ,712,5,4,4,4,3,3,0,149,80,69,116,59,57,121,67,54,108,47,61,113,57,56,105,57,48,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,34,高取,たかとり,タカトリ,1252,6,6,7,7,5,5,0,202,112,90,199,95,104,222,112,110,235,123,112,194,98,96,200,103,97,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,35,鳥飼,とりかい,トリカイ,708,4,3,4,3,4,3,0,113,66,47,109,52,57,121,61,60,113,61,52,130,62,68,122,67,55,3,,,,,,,,
